프레임 인덱스,차량 ID,위도,경도,East (TM 좌표),North (TM 좌표),차선,차선변경여부
2013,14,36.46123131,127.2776923,224891.1358,429260.2363,3,0
2013,127,36.46136288,127.277546,224878.0619,429274.7604,3,0
2014,14,36.46121775,127.2777067,224892.4041,429258.7401,3,0
2014,127,36.46135119,127.2775588,224879.145,429273.5459,3,0
2015,14,36.46120529,127.27772,224893.6726,429257.2707,3,0
2015,127,36.46134056,127.2775704,224880.2264,429272.3284,3,0
2016,14,36.4611915,127.2777346,224894.9059,429255.8371,3,0
2016,127,36.46132988,127.2775821,224881.2731,429271.1471,3,0
2017,14,36.46117892,127.2777479,224896.1581,429254.3748,3,0
2017,127,36.46131917,127.2775937,224882.3552,429269.9238,3,0
2018,14,36.46116567,127.2777618,224897.4106,429252.9114,3,0
2018,127,36.4613074,127.2776065,224883.437,429268.6989,3,0
2019,14,36.46115186,127.2777764,224898.6641,429251.448,3,0
2019,127,36.46129668,127.2776182,224884.5174,429267.4717,3,0
2020,14,36.46113927,127.2777897,224899.9747,429249.9209,3,0
2020,127,36.46128591,127.2776298,224885.5972,429266.2412,3,0
2021,14,36.46112431,127.2778055,224901.2426,429248.4394,3,0
2021,127,36.46127405,127.2776426,224886.6766,429265.01,3,0
2022,14,36.46111172,127.2778188,224902.4794,429246.9577,3,0
2022,127,36.46126331,127.2776542,224887.756,429263.7782,3,0
2023,14,36.46109912,127.277831,224903.729,429245.4574,3,0
2023,127,36.46125253,127.2776658,224888.8351,429262.5439,3,0
2024,14,36.46108366,127.2778472,224904.9781,429243.9534,3,0
2024,127,36.4612406,127.2776786,224889.9129,429261.3052,3,0
2025,14,36.46107098,127.2778604,224906.2967,429242.3978,3,0
2025,127,36.46122974,127.2776901,224890.9894,429260.0636,3,0
2026,14,36.46105699,127.277875,224907.5236,429240.9435,3,0
2026,127,36.46121888,127.2777017,224892.0292,429258.8607,3,0
2027,14,36.46104426,127.2778882,224908.7501,429239.4877,3,0
2027,127,36.461208,127.2777132,224893.07,429257.6574,3,0
2028,14,36.46103154,127.2779014,224909.9779,429238.0286,3,0
2028,127,36.46119713,127.2777248,224894.1135,429256.452,3,0
2029,14,36.46101746,127.277916,224911.219,429236.5496,3,0
2029,127,36.46118621,127.2777365,224895.1576,429255.2432,3,0
2030,14,36.4610042,127.2779296,224912.4725,429235.0524,3,0
2030,127,36.46117524,127.2777481,224896.1998,429254.0314,3,0
2031,14,36.46099099,127.2779432,224913.7346,429233.5388,3,0
2031,127,36.46116429,127.2777596,224897.2372,429252.8192,3,0
2032,14,36.46097646,127.2779581,224914.98,429232.04,3,0
2032,127,36.46115335,127.2777711,224898.2732,429251.6071,3,0
2033,14,36.4609636,127.2779712,224916.2306,429230.5278,3,0
2033,127,36.46114239,127.2777826,224899.3441,429250.3525,3,0
2034,14,36.46095002,127.2779849,224917.4632,429229.0669,3,0
2034,127,36.46113029,127.2777953,224900.3807,429249.1351,3,0
2035,14,36.46093688,127.2779992,224918.7105,429227.5893,3,0
2035,127,36.46112036,127.2778057,224901.4166,429247.9152,3,0
2036,14,36.46092357,127.2780128,224919.9521,429226.1225,3,0
2036,127,36.46110933,127.2778172,224902.416,429246.7347,3,0
2037,14,36.46091029,127.2780264,224921.1541,429224.6756,3,0
2037,127,36.4610983,127.2778287,224903.4151,429245.5529,3,0
2038,14,36.46089768,127.2780394,224922.3499,429223.2754,3,0
2038,127,36.46108833,127.277839,224904.4146,429244.3686,3,0
2039,14,36.46088564,127.2780527,224923.5381,429221.8936,3,0
2039,127,36.46107724,127.2778505,224905.4154,429243.183,3,0
2040,14,36.46087286,127.278066,224924.7944,429220.4736,3,0
2040,127,36.46106617,127.277862,224906.4509,429241.9582,3,0
2041,14,36.46085921,127.2780813,224926.0648,429219.0116,3,0
2041,127,36.46105514,127.2778735,224907.4869,429240.7344,3,0
2042,14,36.46084603,127.2780951,224927.3237,429217.5643,3,0
2042,127,36.46104407,127.2778851,224908.5235,429239.5083,3,0
2043,14,36.46083365,127.2781081,224928.6004,429216.0988,3,0
2043,127,36.46103294,127.2778966,224909.5619,429238.2776,3,0
2044,14,36.46081951,127.2781239,224929.8673,429214.6482,3,0
2044,127,36.46102179,127.2779082,224910.6024,429237.0447,3,0
2045,14,36.46080674,127.2781374,224931.1619,429213.1683,3,0
2045,127,36.46101066,127.2779198,224911.6435,429235.814,3,0
2046,14,36.46079356,127.2781513,224932.4112,429211.7116,3,0
2046,127,36.46099958,127.2779313,224912.6822,429234.5883,3,0
2047,14,36.46078005,127.2781656,224933.6306,429210.2645,3,0
2047,127,36.46098857,127.2779428,224913.7167,429233.3668,3,0
2048,14,36.46076754,127.2781781,224934.8062,429208.8729,3,0
2048,127,36.46097756,127.2779543,224914.7201,429232.1842,3,0
2049,14,36.46075586,127.2781905,224936.0007,429207.4568,3,0
2049,127,36.46096753,127.2779648,224915.7311,429230.9949,3,0
2050,14,36.46074169,127.2782054,224937.2418,429206.0136,3,0
2050,127,36.46095634,127.2779766,224916.7496,429229.7999,3,0
2051,14,36.46072844,127.2782195,224938.4977,429204.5148,3,0
2051,127,36.46094517,127.2779882,224917.8021,429228.5656,3,0
2052,14,36.46071525,127.2782324,224939.7103,429203.0577,3,0
2052,127,36.46093408,127.2779999,224918.814,429227.3756,3,0
2053,14,36.46070222,127.2782459,224940.8885,429201.6306,3,0
2053,127,36.46092409,127.2780103,224919.8224,429226.187,3,0
2054,14,36.46068978,127.2782588,224942.002,429200.2705,3,0
2054,127,36.46091296,127.2780219,224920.7967,429225.0367,3,0
2055,14,36.46067841,127.2782696,224943.1521,429198.8602,3,0
2055,127,36.46090291,127.2780324,224921.8125,429223.8405,3,0
2056,14,36.46066401,127.2782843,224944.3159,429197.4286,3,0
2056,127,36.46089167,127.2780442,224922.8319,429222.6418,3,0
2057,14,36.460651,127.2782976,224945.5245,429195.9803,3,0
2057,127,36.46088047,127.2780559,224923.8514,429221.4428,3,0
2058,14,36.46063917,127.2783099,224946.6934,429194.5863,3,0
2058,127,36.46087042,127.2780664,224924.8661,429220.2459,3,0
2059,14,36.46062625,127.2783233,224947.9029,429193.1469,3,0
2059,127,36.46085923,127.278078,224925.8789,429219.0494,3,0
2060,14,36.460612,127.278338,224949.1455,429191.6628,3,0
2060,127,36.46084805,127.2780897,224926.927,429217.8102,3,0
2061,14,36.46059897,127.2783514,224950.366,429190.1994,3,0
2061,127,36.46083683,127.2781014,224927.9429,429216.6103,3,0
2062,14,36.4605866,127.278364,224951.6024,429188.7181,3,0
2062,127,36.46082672,127.2781119,224928.9608,429215.4082,3,0
2063,14,36.46057188,127.2783793,224952.8684,429187.2091,3,0
2063,127,36.46081547,127.2781236,224929.977,429214.2063,3,0
2064,14,36.4605581,127.2783936,224954.1697,429185.6611,3,0
2064,127,36.46080426,127.2781353,224931.0259,429212.9633,3,0
2065,14,36.46054467,127.2784075,224955.4651,429184.1142,3,0
2065,127,36.46079303,127.2781469,224932.0708,429211.723,3,0
2066,14,36.46052998,127.2784225,224956.7259,429182.5969,3,0
2066,127,36.46078186,127.2781585,224933.1135,429210.485,3,0
2067,14,36.46051699,127.2784357,224957.9833,429181.0762,3,0
2067,127,36.46077071,127.27817,224934.1558,429209.2463,3,0
2068,14,36.46050348,127.2784494,224959.2131,429179.5546,3,0
2068,127,36.46075946,127.2781817,224935.2,429208.0042,3,0
2069,14,36.46048876,127.2784635,224960.4712,429177.9997,3,0
2069,127,36.4607482,127.2781933,224936.2444,429206.7597,3,0
2070,14,36.46047488,127.2784777,224961.7438,429176.4241,3,0
2070,127,36.46073699,127.2782049,224937.3186,429205.48,3,0
2071,14,36.4604608,127.2784919,224963.0373,429174.851,3,0
2071,127,36.46072478,127.2782175,224938.3876,429204.2081,3,0
2072,14,36.46044615,127.2785067,224964.2866,429173.3266,3,0
2072,127,36.46071373,127.2782289,224939.4549,429202.9389,3,0
2073,14,36.46043358,127.2785194,224965.5423,429171.789,3,0
2073,127,36.46070259,127.2782405,224940.4894,429201.7052,3,0
2074,14,36.46041915,127.2785338,224966.7594,429170.2944,3,0
2074,127,36.46069135,127.278252,224941.5242,429200.4656,3,0
2075,14,36.46040566,127.2785473,224968.0077,429168.8005,3,0
2075,127,36.46068014,127.2782635,224942.5558,429199.225,3,0
2076,14,36.46039311,127.278561,224969.2639,429167.3211,3,0
2076,127,36.46066897,127.2782749,224943.5836,429197.9891,3,0
2077,14,36.46037908,127.2785757,224970.4871,429165.9038,3,0
2077,127,36.46065785,127.2782863,224944.6078,429196.7583,3,0
2078,14,36.46036727,127.2785882,224971.7307,429164.4388,3,0
2078,127,36.46064678,127.2782976,224945.665,429195.4904,3,0
2079,14,36.46035343,127.2786025,224972.9707,429162.9729,3,0
2079,127,36.46063461,127.2783101,224946.7217,429194.2244,3,0
2080,14,36.46033937,127.2786171,224974.2318,429161.4701,3,0
2080,127,36.46062354,127.2783215,224947.7792,429192.9586,3,0
2081,14,36.46032655,127.2786302,224975.456,429160.0068,3,0
2081,127,36.46061248,127.2783329,224948.8029,429191.735,3,0
2082,14,36.46031379,127.2786434,224976.7398,429158.4725,3,0
2082,127,36.46060145,127.2783443,224949.8589,429190.4719,3,0
2083,14,36.4602978,127.2786599,224977.991,429156.9839,3,0
2083,127,36.46058931,127.2783567,224950.8792,429189.2519,3,0
2084,14,36.46028623,127.278672,224979.3327,429155.3974,3,0
2084,127,36.46057942,127.2783669,224951.9307,429187.993,3,0
2085,14,36.46027081,127.2786882,224980.9803,429153.4544,3,0
2085,127,36.46056734,127.2783793,224953.2848,429186.3747,3,0
2086,14,36.46024517,127.2787149,224982.7277,429151.3949,3,0
2086,127,36.46054546,127.2784019,224954.671,429184.7193,3,0
2087,14,36.46023044,127.2787303,224984.3841,429149.4407,3,0
2087,127,36.46053455,127.2784132,224956.0221,429183.1072,3,0
2088,14,36.46021788,127.2787434,224985.6304,429147.94,3,0
2088,127,36.46052365,127.2784244,224957.0343,429181.8997,3,0
2089,14,36.46020452,127.2787565,224986.8771,429146.4418,3,0
2089,127,36.46051274,127.2784357,224958.0459,429180.6936,3,0
2090,14,36.46018986,127.2787719,224988.1375,429144.9303,3,0
2090,127,36.46050187,127.2784469,224959.0567,429179.4895,3,0
2091,14,36.46017694,127.2787855,224989.4355,429143.4133,3,0
2091,127,36.46049102,127.2784581,224960.0996,429178.248,3,0
2092,14,36.46016343,127.2787998,224990.7308,429141.8684,3,0
2092,127,36.46047909,127.2784704,224961.1423,429177.0079,3,0
2093,14,36.46014801,127.2788152,224992.0099,429140.3362,3,0
2093,127,36.46046826,127.2784817,224962.1854,429175.7672,3,0
2094,14,36.46013543,127.2788282,224993.3334,429138.7048,3,0
2094,127,36.46045739,127.2784929,224963.2292,429174.5269,3,0
2095,14,36.46011924,127.278844,224994.5976,429137.1331,3,0
2095,127,36.46044548,127.2785053,224964.2723,429173.2865,3,0
2096,14,36.46010544,127.2788573,224995.9069,429135.5063,3,0
2096,127,36.46043465,127.2785165,224965.3485,429172.0083,3,0
2097,14,36.46009137,127.2788719,224997.1702,429133.9375,3,0
2097,127,36.46042275,127.2785288,224966.3905,429170.7707,3,0
2098,14,36.46007675,127.2788862,224998.4348,429132.3978,3,0
2098,127,36.46041194,127.27854,224967.432,429169.5334,3,0
2099,14,36.46006373,127.2788996,224999.7021,429130.8211,3,0
2099,127,36.46040112,127.2785512,224968.4384,429168.3363,3,0
2100,14,36.46004867,127.2789142,225000.9601,429129.2776,3,0
2100,127,36.46039031,127.2785624,224969.4785,429167.0995,3,0
2101,14,36.46003494,127.2789282,225002.203,429127.7202,3,0
2101,127,36.46037842,127.2785747,224970.5186,429165.8615,3,0
2102,14,36.46002155,127.278941,225003.4362,429126.1783,3,0
2102,127,36.46036757,127.2785859,224971.5598,429164.621,3,0
2103,14,36.4600069,127.2789554,225004.6294,429124.6983,3,0
2103,127,36.4603567,127.2785971,224972.5665,429163.4198,3,0
2104,14,36.45999485,127.278968,225005.8472,429123.1991,3,0
2104,127,36.46034587,127.2786083,224973.6075,429162.1805,3,0
2105,14,36.45998094,127.2789817,225007.0649,429121.73,3,0
2105,127,36.46033398,127.2786206,224974.6476,429160.9433,3,0
2106,14,36.4599671,127.278996,225008.2775,429120.2267,3,0
2106,127,36.46032317,127.2786318,224975.6892,429159.7046,3,0
2107,14,36.45995412,127.2790084,225009.5674,429118.623,3,0
2107,127,36.4603123,127.278643,224976.7313,429158.4642,3,0
2108,14,36.4599375,127.2790247,225010.8293,429117.0202,3,0
2108,127,36.46030037,127.2786554,224977.7749,429157.2224,3,0
2109,14,36.45992369,127.2790381,225012.1209,429115.3875,3,0
2109,127,36.46028951,127.2786666,224978.8188,429155.9804,3,0
2110,14,36.4599099,127.2790515,225013.3885,429113.76,3,0
2110,127,36.46027864,127.2786778,224979.8632,429154.7373,3,0
2111,14,36.45989342,127.279067,225014.6368,429112.1965,3,0
2111,127,36.46026668,127.2786902,224980.9085,429153.4933,3,0
2112,14,36.45988134,127.2790798,225015.8737,429110.622,3,0
2112,127,36.4602558,127.2787015,224981.9554,429152.2495,3,0
2113,14,36.45986725,127.2790928,225017.0403,429109.1645,3,0
2113,127,36.46024493,127.2787127,224982.9694,429151.0455,3,0
2114,14,36.45985394,127.2791059,225018.2255,429107.6526,3,0
2114,127,36.46023405,127.278724,224984.0183,429149.8006,3,0
2115,14,36.45984038,127.2791193,225019.4111,429106.1383,3,0
2115,127,36.46022207,127.2787364,224985.0685,429148.5542,3,0
2116,14,36.45982623,127.2791324,225020.554,429104.6702,3,0
2116,127,36.46021115,127.2787478,224986.1191,429147.3087,3,0
2117,14,36.45981417,127.2791441,225021.6715,429103.222,4,1
2117,127,36.46020029,127.2787591,224987.1358,429146.1028,3,0
2118,14,36.45980115,127.2791566,225022.7714,429101.7864,4,0
2118,127,36.46018939,127.2787704,224988.152,429144.8966,3,0
2119,14,36.45978734,127.2791691,225023.919,429100.2927,4,0
2119,127,36.46017847,127.2787817,224989.2043,429143.6497,3,0
2120,14,36.45977371,127.2791824,225025.0788,429098.7528,4,0
2120,127,36.4601665,127.2787942,224990.2575,429142.4016,3,0
2121,14,36.45975944,127.2791953,225026.2276,429097.2566,4,0
2121,127,36.46015556,127.2788055,224991.3115,429141.1526,3,0
2122,14,36.45974681,127.2792074,225027.1961,429096.004,4,0
2122,127,36.46014462,127.2788168,224992.3305,429139.9427,3,0
2123,14,36.45973976,127.2792147,225028.3815,429094.4996,4,0
2123,127,36.46013371,127.2788281,224993.3493,429138.7339,3,0
2124,14,36.45971869,127.2792348,225029.6287,429092.9252,4,0
2124,39,36.46003782,127.2789806,225006.9196,429128.1851,2,0
2124,127,36.46012281,127.2788395,224994.4016,429137.4858,3,0
2125,14,36.45970416,127.279249,225031.0488,429091.113,4,0
2125,39,36.46002244,127.2789957,225008.3874,429126.4134,2,0
2125,127,36.46011079,127.2788519,224995.4545,429136.2363,3,0
2126,14,36.45969069,127.2792621,225032.2698,429089.5687,4,0
2126,39,36.46000762,127.2790111,225009.8551,429124.6412,2,0
2126,127,36.46009985,127.2788633,224996.5071,429134.9862,3,0
2127,14,36.45967685,127.2792756,225033.47,429088.0494,4,0
2127,39,36.45998983,127.2790296,225011.3344,429122.9215,2,0
2127,127,36.46008893,127.2788746,224997.5261,429133.7776,3,0
2128,14,36.45966301,127.2792891,225034.6784,429086.4847,4,0
2128,39,36.45997587,127.2790451,225012.9197,429121.0751,2,0
2128,127,36.46007804,127.2788859,224998.544,429132.5701,3,0
2129,14,36.45964831,127.2793024,225035.8452,429084.9934,4,0
2129,39,36.45995762,127.2790641,225014.3968,429119.3542,2,0
2129,127,36.46006712,127.2788972,224999.5624,429131.3622,3,0
2130,14,36.45963646,127.2793145,225037.042,429083.4569,4,0
2130,39,36.45994323,127.279079,225015.9449,429117.5128,2,0
2130,127,36.46005619,127.2789085,225000.6151,429130.1125,3,0
2131,14,36.45962139,127.279329,225038.091,429082.1229,4,0
2131,39,36.459926,127.2790968,225017.4653,429115.7023,2,0
2131,127,36.46004417,127.278921,225001.6681,429128.8629,3,0
2132,14,36.45961216,127.2793374,225039.3443,429080.5107,4,0
2132,39,36.45990859,127.2791148,225018.9895,429113.8531,2,0
2132,127,36.46003326,127.2789323,225002.7551,429127.573,3,0
2133,14,36.45959279,127.2793563,225040.5779,429078.9515,4,0
2133,39,36.45989315,127.2791299,225020.4252,429112.1073,2,0
2133,127,36.46002124,127.2789448,225003.8079,429126.3236,3,0
2134,14,36.45957915,127.2793702,225042.0197,429077.1437,4,0
2134,39,36.45987873,127.2791447,225021.9639,429110.2696,2,0
2134,127,36.46001031,127.2789561,225004.8948,429125.033,3,0
2135,14,36.4595632,127.2793855,225043.32,429075.5043,4,0
2135,39,36.45985883,127.2791662,225023.4701,429108.5016,2,0
2135,127,36.45999828,127.2789686,225005.9462,429123.7824,3,0
2136,14,36.45954838,127.2793997,225044.6382,429073.8107,4,0
2136,39,36.45984527,127.2791801,225025.0873,429106.5674,2,0
2136,127,36.45998734,127.2789799,225007.0307,429122.4902,3,0
2137,14,36.45953328,127.2794142,225045.8851,429072.2327,4,0
2137,39,36.45982635,127.2791987,225026.5502,429104.8147,2,0
2137,127,36.45997529,127.2789923,225008.0822,429121.2368,3,0
2138,14,36.45952046,127.2794271,225047.1479,429070.6374,4,0
2138,39,36.45981136,127.279215,225028.1491,429102.9011,2,0
2138,127,36.45996431,127.2790036,225009.1355,429119.9817,3,0
2139,14,36.45950517,127.2794419,225048.3796,429069.1215,4,0
2139,39,36.45979345,127.2792335,225029.6727,429101.1122,2,0
2139,127,36.45995333,127.279015,225010.1895,429118.7241,3,0
2140,14,36.45949222,127.2794553,225049.6048,429067.6257,4,0
2140,39,36.4597779,127.2792496,225031.1826,429099.3114,2,0
2140,127,36.45994121,127.2790275,225011.2434,429117.4654,3,0
2141,14,36.45947994,127.279468,225050.8118,429066.195,4,0
2141,39,36.4597626,127.2792654,225032.7113,429097.5258,2,0
2141,127,36.4599302,127.2790388,225012.2982,429116.2064,3,0
2142,14,36.45946641,127.2794821,225051.9988,429064.8007,4,0
2142,39,36.4597451,127.2792846,225034.2567,429095.727,2,0
2142,127,36.45991921,127.2790502,225013.354,429114.9476,3,0
2143,14,36.45945444,127.2794949,225053.1766,429063.3981,4,0
2143,39,36.45972919,127.2793012,225035.778,429093.9629,2,0
2143,127,36.4599071,127.2790627,225014.4098,429113.6885,3,0
2144,14,36.45944194,127.2795073,225054.3188,429062.0499,4,0
2144,39,36.45971482,127.2793162,225037.2981,429092.1741,2,0
2144,127,36.45989608,127.279074,225015.4637,429112.4311,3,0
2145,14,36.45942988,127.2795202,225055.4705,429060.661,4,0
2145,39,36.45969666,127.2793353,225038.8034,429090.4062,2,0
2145,127,36.45988513,127.2790853,225016.5159,429111.178,3,0
2146,14,36.45941681,127.2795333,225056.6341,429059.2584,4,0
2146,39,36.45968131,127.2793515,225040.3997,429088.5002,2,0
2146,127,36.45987314,127.2790978,225017.5672,429109.9278,3,0
2147,14,36.45940394,127.2795461,225057.8591,429057.7833,4,0
2147,39,36.45966321,127.2793695,225041.9104,429086.6975,2,0
2147,127,36.4598622,127.2791091,225018.6538,429108.6374,3,0
2148,14,36.45938992,127.2795611,225059.0485,429056.3458,4,0
2148,39,36.45964784,127.2793858,225043.4144,429084.9017,2,0
2148,127,36.45985017,127.2791216,225019.7079,429107.387,3,0
2149,14,36.45937787,127.279573,225060.2469,429054.8936,4,0
2149,39,36.45963268,127.2794017,225044.9453,429083.1059,2,0
2149,127,36.45983925,127.2791329,225020.7602,429106.1399,3,0
