x,y,evt,status
-7.696694977639514,-3.937285820366214,1,True
-7.696694977639514,-3.937285820366214,1,True
-7.696694977639514,-3.9019928316573034,1,True
-7.696694977639514,-3.9019928316573034,1,True
-7.696694977639514,-3.8666998429483908,1,True
-7.739227553775896,-3.831406854239479,1,True
-7.739227553775896,-3.7961138655305673,1,True
-7.696694977639514,-3.7608208768216556,1,True
-7.739227553775896,-3.7961138655305673,1,True
-7.739227553775896,-3.831406854239479,1,True
-7.781760129912276,-3.9019928316573034,1,True
-7.781760129912276,-3.937285820366214,1,True
-7.781760129912276,-4.0078717977840395,1,True
-7.824292706048657,-4.078457775201863,1,True
-7.781760129912276,-4.113750763910775,1,True
-7.824292706048657,-4.149043752619686,1,True
-7.739227553775896,-4.149043752619686,1,True
-7.739227553775896,-4.078457775201863,1,True
-7.654162401503132,-4.043164786492951,1,True
-7.654162401503132,-3.9725788090751273,1,True
-7.696694977639514,-3.937285820366214,1,True
-7.654162401503132,-3.8666998429483908,1,True
-7.739227553775896,-3.8666998429483908,1,True
-7.696694977639514,-3.8666998429483908,1,True
-7.696694977639514,-3.831406854239479,1,True
-7.696694977639514,-3.7961138655305673,1,True
-7.739227553775896,-3.831406854239479,1,True
-7.739227553775896,-3.8666998429483908,1,True
-7.739227553775896,-3.937285820366214,1,True
-7.696694977639514,-3.9725788090751273,1,True
