x,y,evt,status
-7.356434368548466,-1.2197256897799968,1,True
-7.356434368548466,-1.2197256897799968,1,True
-7.313901792412086,-1.255018678488907,1,True
-7.271369216275703,-1.2197256897799968,1,True
-7.228836640139322,-1.1491397123621714,1,True
-7.1863040640029405,-1.0785537349443493,1,True
-7.313901792412086,-1.0432607462354369,1,True
-7.313901792412086,-1.0785537349443493,1,True
-7.313901792412086,-1.1138467236532603,1,True
-7.313901792412086,-1.1491397123621714,1,True
-7.356434368548466,-1.1491397123621714,1,True
-7.356434368548466,-1.2197256897799968,1,True
-7.398966944684847,-1.255018678488907,1,True
-7.441499520821229,-1.2903116671978203,1,True
-7.356434368548466,-1.3256046559067314,1,True
-7.356434368548466,-1.3256046559067314,1,True
-7.398966944684847,-1.255018678488907,1,True
-7.398966944684847,-1.2197256897799968,1,True
-7.398966944684847,-1.1844327010710836,1,True
-7.398966944684847,-1.1138467236532603,1,True
-6.420717693548083,-0.690330859146317,1,True
-5.442468442411318,-0.3021079833482859,1,True
-5.4850010185477,-0.23152200593046368,1,True
-5.442468442411318,-0.23152200593046368,1,True
-5.399935866274937,-0.23152200593046368,1,True
-5.399935866274937,-0.23152200593046368,1,True
-5.442468442411318,-0.23152200593046368,1,True
-5.399935866274937,-0.23152200593046368,1,True
-6.378185117411703,-0.5844518930195826,1,True
