style,interval,target,t,x,y
2,1,2,12844423684,956.0183525085448,561.8246948719025
2,1,2,12844440339,952.4466514587402,562.2889852523804
2,1,2,12844456993,951.7276763916016,557.1497333049773
2,1,2,12844473648,956.6591644287108,560.4741811752318
2,1,2,12844490303,954.7019958496094,565.4797303676605
2,1,2,12844506957,955.5693435668944,571.5782046318053
2,1,2,12844523612,954.4962310791016,565.9974503517151
2,1,2,12844540267,961.4542961120604,564.5977556705475
2,1,2,12844556921,964.5964431762696,560.6096541881561
2,1,2,12844573576,956.9538497924804,562.1936810016632
2,1,2,12844590231,951.7821502685547,568.6635553836823
2,1,2,12844606885,953.8963890075684,567.8621757030488
2,1,2,12844623540,960.5690956115724,565.5831456184387
2,1,2,12844640195,951.7386627197266,572.2487783432008
2,1,2,12844656850,947.1424293518066,577.0645236968993
2,1,2,12844673504,952.2675514221193,575.2252578735353
2,1,2,12844690159,950.2670097351074,566.9523596763612
2,1,2,12844706814,948.3791351318359,555.2353119850159
2,1,2,12844723468,952.3833656311036,577.3545241355896
2,1,2,12844740123,955.3903579711914,572.8416538238524
2,1,2,12844756778,958.2454872131348,585.4873466491698
2,1,2,12844773432,948.9175796508788,590.4642820358276
2,1,2,12844790087,925.7266426086426,577.2926616668701
2,1,3,12847071779,997.674388885498,541.7203581333159
2,1,3,12847088434,997.4790954589844,538.9945793151854
2,1,3,12847105089,1006.9708251953124,539.1473364830017
2,1,3,12847121743,1006.898956298828,540.5663108825684
2,1,3,12847138398,1002.8025436401367,539.6698200702667
2,1,3,12847155053,1007.1171951293944,538.4664630889894
2,1,3,12847171707,1009.5475769042968,544.7961008548737
2,1,3,12847188362,1007.71240234375,547.0907413959503
2,1,3,12847205017,1005.0584030151367,542.9608261585237
2,1,3,12847221671,1004.588508605957,537.5100088119507
2,1,3,12847238326,1005.4662704467772,546.4788115024567
2,1,3,12847254981,1004.8134422302246,547.3823189735414
2,1,3,12847271635,1003.636589050293,536.9742643833159
2,1,3,12847288290,1002.449436187744,530.3045117855072
2,1,3,12847304945,1011.5750122070312,534.3015933036803
2,1,3,12847321600,1014.9095916748047,533.4736275672914
2,1,3,12847338254,1012.4486541748047,542.6513528823854
2,1,3,12847354909,1013.8592529296876,544.8983573913573
2,1,3,12847371564,1006.8916893005372,535.291907787323
2,1,3,12847388218,1012.9095649719237,538.7200605869293
2,1,3,12847404873,1011.4494705200196,533.7117433547974
2,1,3,12847421528,1021.3166809082032,531.3241803646089
2,1,3,12847438182,1049.266357421875,587.9222559928894
2,1,3,12847454837,1076.1301040649414,684.6235299110413
2,1,3,12847471492,1034.7739028930664,772.3521065711975
2,1,3,12847488146,997.2743606567384,980.704128742218
2,1,3,12847504801,1033.3015060424802,967.222294807434
2,1,3,12847521456,1063.3377838134766,771.6908669471741
2,1,3,12847538110,1045.223503112793,682.0563340187073
2,1,3,12847554765,1044.77294921875,579.6322023868562
2,1,3,12847571420,1051.2854385375977,586.5758943557738
2,1,3,12847588075,1045.6324005126953,563.8119220733643
2,1,3,12847604729,1043.9625930786133,569.2558515071869
2,1,3,12847621384,1043.5730361938477,566.7993450164795
2,1,3,12847638039,1026.4107894897459,584.5595383644104
2,1,3,12847654693,1033.6738967895508,576.9620418548584
2,1,3,12847671348,1046.4675903320312,575.169575214386
2,1,3,12847688003,1041.0802841186523,565.8765256404878
2,1,3,12847704657,1031.2403106689453,553.9195919036865
2,1,3,12847721312,1033.896026611328,551.8321681022644
2,1,3,12847737967,1037.1090698242188,560.7973659038544
2,1,3,12847754621,1039.2772674560547,560.2242851257323
2,1,3,12847771276,1048.6310958862302,558.8841998577118
2,1,3,12847787931,1048.6576461791992,558.997528553009
2,1,3,12847804585,1037.9269790649414,560.9994971752167
2,1,3,12847821240,1036.892318725586,554.2752850055696
2,1,3,12847837895,1038.2043838500977,546.3919401168823
2,1,3,12847854550,1031.1342239379885,541.7698931694032
2,1,3,12847871204,1035.1240921020508,537.9981815814972
2,1,3,12847887859,1034.2723083496094,543.8416421413422
2,1,3,12847904514,1037.1429443359377,549.472382068634
2,1,3,12847921168,1046.3688278198242,548.8963079452515
2,1,3,12847937823,1038.6209487915041,551.8013334274292
2,1,3,12847954478,1038.5000991821291,547.3244798183441
2,1,3,12847971132,1041.6725158691406,539.7682464122772
2,1,3,12847987787,1031.1002349853516,543.4869790077211
2,1,3,12848004442,1041.8085861206057,550.1249635219574
2,1,3,12848021096,1053.2098770141604,543.941034078598
2,1,3,12848037751,1040.9984588623047,542.8984487056732
2,1,3,12848054406,1042.0600128173828,539.907066822052
2,1,3,12848071060,1044.5648956298828,529.1801726818085
2,1,3,12848087715,1042.293701171875,528.5979831218721
2,1,3,12848104370,1044.3305206298828,540.2549707889557
2,1,3,12848121025,1044.0572357177734,544.4764244556427
2,1,3,12848137679,1040.0201034545896,546.2193560600282
2,1,3,12848154334,1037.7753448486328,550.7407557964325
2,1,3,12848170989,1045.5219650268557,546.2736225128174
2,1,3,12848187643,1049.9373245239258,544.5156598091124
2,1,3,12848204298,1048.3357238769534,542.8536128997804
2,1,3,12848220953,1053.2207489013672,542.0162808895111
2,1,3,12848237607,1055.8365249633791,532.7899217605592
2,1,3,12848254262,1057.7575302124023,527.4579691886902
2,1,3,12848270917,1047.9366683959959,533.2785773277284
2,1,3,12848287571,1041.6561508178709,535.8251094818115
2,1,3,12848304226,1041.5003967285156,528.3488595485687
2,1,3,12848320881,1038.697280883789,529.8884689807892
2,1,3,12848337535,1051.185417175293,537.1355831623076
2,1,3,12848354190,1056.2326049804688,538.8098287582396
2,1,3,12848370845,1056.4133071899414,542.1069180965424
2,1,3,12848387500,1063.6174774169922,542.2029304504396
2,1,3,12848404154,1062.142105102539,544.6796178817749
2,1,3,12848420809,1061.9680404663086,550.1745629310608
2,1,3,12848437464,1053.4503173828123,552.8056490421295
2,1,3,12848454118,1051.5889358520508,550.0040709972382
2,1,3,12848470773,1054.7273635864258,548.0095052719116
2,1,3,12848487428,1051.3988494873047,554.5578825473784
2,1,3,12848504082,1058.6462783813477,542.8110945224762
2,1,3,12848520737,1060.7126235961914,545.2903568744658
2,1,3,12848537392,1052.9307556152344,546.5379059314728
2,1,3,12848554046,1061.904067993164,536.3879549503326
2,1,3,12848570701,1066.1292266845703,530.6451737880707
2,1,3,12848587356,1057.341766357422,530.5575942993164
2,1,3,12848604010,1061.0369491577146,529.5733308792113
2,1,3,12848620665,1064.4930648803709,519.7829031944275
