NODE_ID|NODE_NM|NODE_ENM|NODE_SNM|POSX|POSY|NODE_KIND|NODE_TYPE|SEQ|ADM_DSTRT_CD|USE_YN|ETL_TYPE|ETL_DATE
AP2501003095|동명초등학교| ||242605.23026503|319201.52197186|3701|3607|1456|30110121  |T|0602|2019-12-31 02:47:02
AP2501003093|방아실입구/와정리| ||247575.43750000|321263.31250000|3701|3607|1449|44710340  |T|0602|2019-12-31 02:47:02
AP2501003091|가목정마을| ||239375.98437500|301220.59375000|3701|3607|1432|30110145  |T|0602|2019-12-31 02:47:02
AP2501003089|갈전동| ||241718.99540079|325296.11403453|3701|3607|1420|30230121  |T|0602|2019-12-31 02:47:02
AP2501003087|구절골| ||245457.67187500|318816.62500000|3701|3607|1408|30110130  |T|0602|2019-12-31 02:47:02
AP2501003085|대전의료소년원| ||241673.62500000|309765.18750000|3701|3607|1374|30110139  |T|0602|2019-12-31 02:47:02
AP2501003083|가오주공아파트| ||240577.43750000|311742.15625000|3701|3607|1353|30110105  |T|0602|2019-12-31 02:47:02
AP2501003081|낭월삼거리| ||241935.95312500|309022.25000000|3701|3607|1341|30110136  |T|0602|2019-12-31 02:47:02
AP2501003079|낭월삼거리| ||241970.40625000|308990.25000000|3701|3607|1330|30110136  |T|0602|2019-12-31 02:47:02
AP2501003077|대전대학교| ||241574.29687500|314772.56250000|3701|3607|1318|30110109  |T|0602|2019-12-31 02:47:02
AP2501003075|대덕구청| ||237431.02322603|316312.24609831|3701|3607|1303|30230101  |T|0602|2019-12-31 02:47:02
AP2501003073|대전보건대학| ||240428.00588084|316483.15244109|3701|3607|1287|30110114  |T|0602|2019-12-31 02:47:02
AP2501003071|가양2동파출소| ||240033.67212406|316223.52868180|3701|3607|1276|30110114  |T|0602|2019-12-31 02:47:02
AP2501003069|샤또호텔 앞| ||239176.19634186|316556.97542822|3701|3607|1271|30110116  |T|0602|2019-12-31 02:47:02
AP2501003067|경덕중학교입구| ||237866.66180843|316288.88252063|3701|3607|1259|30110117  |T|0602|2019-12-31 02:47:02
AP2501003065|대전예식원| ||238594.68738046|313916.15157823|3701|3607|1254|30140105  |T|0602|2019-12-31 02:47:02
AP2501003063|구추동사무소| ||242184.80188753|319313.14865235|3701|3607|1245|30110121  |T|0602|2019-12-31 02:47:02
AP2501003061|가는골| ||243242.81250000|315004.18750000|3701|3607|1240|30110128  |T|0602|2019-12-31 02:47:02
AP2501003059|계룡공고입구| ||238837.79817805|315480.80549344|3701|3607|1229|30110118  |T|0602|2019-12-31 02:47:02
AP2501003057|대전의료소년원| ||241676.64062500|309696.87500000|3701|3607|1226|30110139  |T|0602|2019-12-31 02:47:02
AP2501003055|대전역| ||238692.83752907|314746.94406594|3701|3607|1215|30110119  |T|0602|2019-12-31 02:47:02
AP2501003053|대전보건대학| ||240680.70687188|316506.81150728|3701|3607|1194|30110114  |T|0602|2019-12-31 02:47:02
AP2501003051|대종로네거리| ||237727.68956670|314929.06846991|3701|3607|1188|30140102  |T|0602|2019-12-31 02:47:02
AP2501003049|가오변전소| ||240731.79687500|311534.37500000|3701|3607|1180|30110105  |T|0602|2019-12-31 02:47:02
AP2501003047|용방주공마을| ||240090.95312500|313995.56250000|3701|3607|1164|30110110  |T|0602|2019-12-31 02:47:02
AP2501003045|대성동| ||241371.70312500|310450.59375000|3701|3607|1156|30110139  |T|0602|2019-12-31 02:47:02
AP2501003043|대전역| ||238712.06495453|314531.92913962|3701|3607|1144|30110120  |T|0602|2019-12-31 02:47:02
AP2501003041|대전대학교입구| ||240967.52227596|314242.51960609|3701|3607|1127|30110109  |T|0602|2019-12-31 02:47:02
AP2501003039|대동초등학교| ||240100.68750000|314028.59375000|3701|3607|1119|30110110  |T|0602|2019-12-31 02:47:02
AP2501003037|가양네거리| ||240093.57927309|316234.05221897|3701|3607|1108|30110114  |T|0602|2019-12-31 02:47:02
AP2501003035|대동역| ||239612.84902718|314500.15680597|3701|3607|1091|30110110  |T|0602|2019-12-31 02:47:02
AP2501003033|대전역| ||238635.60505941|314495.59850292|3701|3607|1085|30110120  |T|0602|2019-12-31 02:47:02
AP3014000983|태평시장|||235503.65241700|314083.20103900|3701|3601|840|3014069000|T|0602|2019-12-31 02:47:02
AP3017000932|산직동|||231084.87589400|303408.94812700|3701|3601|842|3017060000|T|0602|2019-12-31 02:47:02
AP3020000887|대동|||235434.05891400|331035.14777700|3701|3601|844|3020058000|T|0602|2019-12-31 02:47:02
AP3020000884|봉산동기점|||234447.56161900|327807.98207200|3701|3603|846|3020058000|T|0602|2019-12-31 02:47:02
AP3017000930|우성아파트입구|||232560.55175500|312037.64840100|3701|3601|848|3017053500|T|0602|2019-12-31 02:47:02
AP3014000981|금동|||238567.86188500|305452.71841300|3701|3601|850|3014074000|T|0602|2019-12-31 02:47:02
AP3023000938| 엔비오가드|||239031.18760200|326349.82406400|3701|3601|852|3023057000|T|0602|2019-12-31 02:47:02
AP3020000882|안산동|||227259.68058700|323234.27873600|3701|3601|854|3020054700|T|0602|2019-12-31 02:47:02
AP3011000963| 하사|||240342.52468100|309979.78530900|3701|3601|856|3011074000|T|0602|2019-12-31 02:47:02
AP3020000881|봉산동휴먼시아|||234437.27284300|326963.97677500|3701|3601|858|3020058000|T|0602|2019-12-31 02:47:02
AP3020000953|홍인장네거리|Honginjang 4(ne)-geori|홍인장4|230697.55617100|317526.63482700|3701|3601|860|3020053000|T|0602|2019-12-31 02:47:02
AP3011000107|보문교|Bomungyo|보문교|239175.81258600|313806.47324800|3701|3603|862|3011054500|T|0602|2019-12-31 02:47:02
AP3014000140|대전예식원(단)|DaejeonWedding Hall (Dan)|대전예식원|238840.71161500|314254.67283400|3701|3603|864|3011054500|T|0602|2019-12-31 02:47:02
AP3011000077|중교|Junggyo|중교|238695.86967300|314533.62869000|3701|3603|866|3011051500|T|0602|2019-12-31 02:47:02
AP3011001137|영교네거리|Yeonggyo 4(ne)-geori|영교4|238199.42616600|315029.73527300|3701|3603|868|3014053500|T|0602|2019-12-31 02:47:02
AP3011001136|삼선교|samseonggyo|삼선교|238016.82862200|315363.01956000|3701|3603|870|3014053500|T|0602|2019-12-31 02:47:02
AP3011000146|현암교|Hyeonamgyo|현암교|237582.36007200|315667.41841300|3701|3603|872|3014053500|T|0602|2019-12-31 02:47:02
AP3014000141|문창교(하상도로)|Munchanggyo(Over River Road)|문창교하상|239406.04795200|313102.18454600|3701|3603|874|3014060500|T|0602|2019-12-31 02:47:02
AP3011001100|대전대학교|||241618.19274600|315155.29626000|3701|3601|876|3011056000|T|0602|2019-12-31 02:47:02
AP3017001001|원정동|||227312.74788300|306394.91741100|3701|3601|878|3017060000|T|0602|2019-12-31 02:47:02
AP3017001000| 우명1동노인회|||225684.42784900|304445.00950500|3701|3601|880|3017060000|T|0602|2019-12-31 02:47:02
AP3017001002|등골|||231637.52918400|307825.00093100|3701|3601|882|3017060000|T|0602|2019-12-31 02:47:02
AP3020001000|안산동||안산동|226773.49983000|324107.47742800|3701|3601|884|3020054700|T|0602|2019-12-31 02:47:02
AP3020001102|한밭대삼거리|Hanbat University 3(sam)-geori|한밭대3|226904.97013500|317269.60086500|3701|3601|886|3020053000|T|0602|2019-12-31 02:47:02
AP3014001102|대전서남부터미널|Seobu Terminal|대전서남부터미널|234813.61409500|312987.06792900|3701|3601|888|3014070000|T|0602|2019-12-31 02:47:02
AP3017001111|선거관리위원회삼거리|National Election Commission 3(sam)-geori|선거관리위원|234518.95820200|317345.56317800|3701|3601|890|3017064000|T|0602|2019-12-31 02:47:02
AP3017001112|대전지방경찰청앞|||234567.69035400|317587.08348000|3701|3601|892|3017064000|T|0602|2019-12-31 02:47:02
AP4471000996| 진산사랑교회|||233037.71893400|293855.85968900|3701|3601|894|4471037000|T|0602|2019-12-31 02:47:02
AP4425001002| 도곡1리마을회관|||219196.96586200|307776.24822900|3701|3601|896|4425031500|T|0602|2019-12-31 02:47:02
AP4471000997|마전|||241893.40251000|299273.03824100|3701|3601|898|4471039000|T|0602|2019-12-31 02:47:02
AP3011001101|대청호자연생태관|||242235.92076800|319611.89294300|3701|3601|900|3011072500|T|0602|2019-12-31 02:47:02
AP3011000095|동신고교|Dongsin High School|동신고교|242798.61536600|314989.86337800|3701|3607|902|3011055100|T|0602|2019-12-31 02:47:02
AP3011001104|냉천골|||243101.74212800|321382.11534800|3701|3601|904|3011072500|T|0602|2019-12-31 02:47:02
AP4473001002| 구룡달전로교차로1|||231298.33345200|329279.51341600|3701|3601|906|4473034000|T|0602|2019-12-31 02:47:02
AP3014000067|태평동우체국|||235589.80577500|314610.41817000|3701|3607|595|3014068000|T|0602|2019-12-31 02:47:02
AP3014000015|중앙로역네거리|Jungangro Station 4(ne)-geori|중앙로역4|238235.91026600|314597.19118300|3701|3601|597|3014057500|T|0602|2019-12-31 02:47:02
AP3014000004|오룡역네거리|Oryong Station 4(ne)-geori|오룡역4|236369.53371600|314580.63452900|3701|3601|599|3014065500|T|0602|2019-12-31 02:47:02
AP3011000076|중교|||238732.17219200|314525.46977100|3701|3601|601|3011051500|T|0602|2019-12-31 02:47:02
AP3011000033|용운동주민센터네거리|Yong0un-dong Office 4(ne)-geori|용운동주민센터|241459.56763500|314513.69688800|3701|3601|603|3011056000|T|0602|2019-12-31 02:47:02
AP3014000019|오류네거리|Oryu 4(ne)-geori|오류4|236153.34490400|314502.79089900|3701|3601|605|3014067000|T|0602|2019-12-31 02:47:02
AP3014000096|태평삼거리|Taepyeong 3(sam)-geori|태평3|236527.26025500|314421.44826900|3701|3601|607|3014065500|T|0602|2019-12-31 02:47:02
AP2505003144|신탄진역| ||238390.05755960|327650.76001305|3701|3607|2115|30230126  |T|0602|2019-12-31 02:47:02
AP2505003142|신탄진역| ||238421.01191359|327668.90663219|3701|3607|2111|30230126  |T|0602|2019-12-31 02:47:02
