﻿level6 LINK ID,연월,평일 / 주말,주요시간대,도로등급,시도명,시군구명,읍면동명,15% 주행속도 (km/h),25% 주행속도 (km/h),30% 주행속도 (km/h),50% 주행속도 (km/h),75% 주행속도 (km/h),85% 주행속도 (km/h),평균속도 (km/h),속도 표준편차 (km/h),최대속도 (km/h)
57160388702,202110,평일,7,특별광역시도,서울특별시,강남구,일원2동,22,24,24,35,37,38,31.2,6.79,38
57160388702,202110,평일,8,특별광역시도,서울특별시,강남구,일원2동,20,22,26,31,46,54,35.75,14.06,61
57160389101,202110,평일,7,특별광역시도,서울특별시,강남구,일원본동,41,41,41,42,53,53,45.33,5.44,53
57160389101,202110,평일,8,특별광역시도,서울특별시,강남구,일원본동,27,31,31,35,37,38,33.83,3.76,38
57160389102,202110,평일,7,특별광역시도,서울특별시,강남구,일원본동,5,6,7,10,21,27,13.64,8.91,31
57160389102,202110,평일,8,특별광역시도,서울특별시,강남구,일원본동,4,4,5,10,28,32,15.7,11.62,34
57160392101,202110,평일,7,특별광역시도,서울특별시,강남구,대치4동,13,16,16,21,27,41,23.57,13.77,61
57160392101,202110,평일,8,특별광역시도,서울특별시,강남구,대치4동,2,2,4,17,29,33,17.31,13.69,52
57160392102,202110,평일,7,특별광역시도,서울특별시,강남구,대치4동,33,33,34,39,44,52,40.36,8.11,55
57160392102,202110,평일,8,특별광역시도,서울특별시,강남구,대치4동,34,37,38,42,47,50,42,7.01,54
57160395601,202110,평일,7,특별광역시도,서울특별시,강남구,도곡2동,22,22,22,22,25,25,23.5,1.5,25
57160395601,202110,평일,8,특별광역시도,서울특별시,강남구,도곡2동,15,15,16,22,26,26,24.71,15.78,61
57160407201,202110,평일,7,특별광역시도,서울특별시,강남구,개포1동,6,6,6,27,35,42,23.74,18.13,65
57160407201,202110,평일,8,특별광역시도,서울특별시,강남구,개포1동,4,6,6,10,28,35,16.41,14.47,58
57160407202,202110,평일,7,특별광역시도,서울특별시,강남구,개포1동,23,29,30,33,38,41,33.12,7.06,45
57160407202,202110,평일,8,특별광역시도,서울특별시,강남구,개포1동,29,31,31,33,38,40,33.83,6.03,46
57160408101,202110,평일,7,특별광역시도,서울특별시,강남구,개포1동,16,18,18,19,28,31,23.62,10.09,51
57160408101,202110,평일,8,특별광역시도,서울특별시,강남구,개포1동,16,18,19,24,35,41,27.33,11.97,61
57160408102,202110,평일,7,특별광역시도,서울특별시,강남구,개포1동,15,15,16,17,29,33,20.73,7.54,36
57160408102,202110,평일,8,특별광역시도,서울특별시,강남구,개포1동,13,15,16,26,36,42,27.02,12.34,52
57160476801,202110,평일,7,특별광역시도,서울특별시,강남구,도곡1동,22,22,22,22,31,31,26.5,4.5,31
57160478801,202110,평일,7,국가지원지방도,서울특별시,강남구,세곡동,4,5,5,10,26,60,22.27,24.71,92
57160478801,202110,평일,8,국가지원지방도,서울특별시,강남구,세곡동,2,2,3,5,15,41,14.64,20.63,99
57160481101,202110,평일,7,특별광역시도,서울특별시,강남구,세곡동,32,37,38,43,49,51,41.2,10.99,68
57160481101,202110,평일,8,특별광역시도,서울특별시,강남구,세곡동,19,26,28,35,46,51,33.84,15.33,63
57160483401,202110,평일,7,특별광역시도,서울특별시,강남구,일원1동,40,43,43,46,49,52,46.06,5.62,58
57160483401,202110,평일,8,특별광역시도,서울특별시,강남구,일원1동,42,44,44,47,51,53,47.35,5.17,58
57160483501,202110,평일,7,특별광역시도,서울특별시,강남구,수서동,37,39,40,42,45,47,42.29,5.21,63
57160483501,202110,평일,8,특별광역시도,서울특별시,강남구,수서동,37,39,40,42,46,47,42.04,5.21,56
57160490601,202110,평일,7,특별광역시도,서울특별시,강남구,역삼2동,34,37,38,41,45,49,41.44,7.11,70
57160490601,202110,평일,8,특별광역시도,서울특별시,강남구,역삼2동,34,36,37,40,45,48,40.79,7.57,64
57160492901,202110,평일,7,특별광역시도,서울특별시,강남구,대치2동,29,31,31,35,39,42,34.85,8.97,68
57160492901,202110,평일,8,특별광역시도,서울특별시,강남구,대치2동,18,24,26,31,36,39,29.58,9.72,54
57160500201,202110,평일,7,특별광역시도,서울특별시,강남구,역삼2동,36,38,39,43,50,53,44.24,9.02,70
