unixtime,latitude,longitude,speed
1202505519789,37.6313906452,-122.0796751149,19.640
1202505523785,37.6314527551,-122.0795778849,16.988
1202505526785,37.6314662500,-122.0797725964,20.966
1202505530788,37.6314776493,-122.0803406378,28.455
1202505534787,37.6314990232,-122.0812473917,35.761
1202505538787,37.6315220734,-122.0822323488,40.107
1202505542788,37.6315385019,-122.0831758993,41.990
1202505546797,37.6315626418,-122.0840697451,41.599
1202505550798,37.6315909726,-122.0849195859,39.615
1202505554786,37.6317114205,-122.0856988512,36.453
1202505558785,37.6320980776,-122.0860643858,32.759
1202505561785,37.6323973114,-122.0858771342,31.343
1202505564788,37.6323358721,-122.0854212427,32.406
1202505567790,37.6320182819,-122.0851098551,36.027
1202505571781,37.6314213230,-122.0846601661,42.153
1202505575786,37.6306526189,-122.0841220482,48.128
1202505579786,37.6298515607,-122.0835151986,52.120
1202505582792,37.6292682643,-122.0830677728,54.375
1202505586791,37.6285133066,-122.0824902599,55.576
1202505590782,37.6277546608,-122.0819192848,56.596
1202505593795,37.6271613899,-122.0814840966,57.619
1202505597784,37.6263325877,-122.0808683622,59.075
1202505601784,37.6254832497,-122.0802521249,60.272
1202505605783,37.6246158907,-122.0796303556,61.418
1202505609787,37.6237444246,-122.0790111846,62.275
1202505613783,37.6228596312,-122.0783760043,63.130
1202505616784,37.6221868161,-122.0778933745,63.702
1202505619784,37.6215052838,-122.0774041229,64.066
1202505623783,37.6205933331,-122.0767539390,64.076
1202505626785,37.6199200989,-122.0762723150,63.751
1202505630780,37.6190416758,-122.0756436725,63.151
1202505633783,37.6183976106,-122.0751857693,62.548
1202505637783,37.6175220373,-122.0745634132,62.207
1202505642779,37.6164421971,-122.0737996545,61.398
1202505645783,37.6157771772,-122.0733272506,60.670
1202505649778,37.6149171104,-122.0727162101,59.068
1202505652780,37.6143308803,-122.0722939300,56.752
1202505655787,37.6137831232,-122.0719052613,54.494
1202505659787,37.6130583403,-122.0713870084,52.876
1202505663370,37.6119826910,-122.0706178014,51.368
1202505666374,37.6114562239,-122.0702415379,50.598
1202505670374,37.6107446006,-122.0697345168,50.213
1202505674373,37.6100665887,-122.0692564971,49.737
1202505677380,37.6095406245,-122.0688818261,50.071
1202505680383,37.6090168395,-122.0685089154,50.636
1202505684372,37.6083034560,-122.0680011399,51.514
1202505688370,37.6075799304,-122.0674873294,52.604
1202505692370,37.6068195245,-122.0669443499,54.129
1202505696368,37.6060198912,-122.0663711956,55.655
1202505699370,37.6054209206,-122.0659430482,56.628
1202505703365,37.6046364586,-122.0653828020,57.321
1202505706368,37.6040073132,-122.0649580911,58.254
1202505710378,37.6031429717,-122.0643567736,58.364
1202505714367,37.6022974056,-122.0637533606,57.001
1202505718367,37.6014643285,-122.0631719082,54.354
1202505722367,37.6006772681,-122.0627174416,49.639
1202505726374,37.6000084763,-122.0625300223,43.019
1202505730361,37.5994334780,-122.0627281704,36.768
1202505733365,37.5991290474,-122.0629221276,30.806
1202505737362,37.5988050870,-122.0630605128,26.041
1202505740362,37.5986480101,-122.0631300825,23.258
1202505743362,37.5985113014,-122.0633786059,23.845
1202505746364,37.5984610938,-122.0638208349,26.114
1202505750364,37.5984000735,-122.0644588651,27.871
1202505754364,37.5983411488,-122.0651644535,28.458
1202505757370,37.5983010833,-122.0656335884,27.432
1202505761361,37.5982560725,-122.0661391008,25.146
1202505764361,37.5982540608,-122.0663964251,22.568
1202505768362,37.5984510355,-122.0665322119,20.911
1202505772355,37.5988442304,-122.0664171284,22.513
1202505775355,37.5991469008,-122.0663114327,22.035
1202505778358,37.5994190611,-122.0661209121,21.293
1202505781358,37.5995980985,-122.0658327424,19.991
1202505784359,37.5996500663,-122.0656464127,16.915
1202505788359,37.5996556822,-122.0655958699,14.161
1202505791361,37.5996763016,-122.0653290740,15.334
1202505794367,37.5997110027,-122.0650160938,15.552
1202505798371,37.5997215639,-122.0646680774,14.483
