Type,Severity,StartTime(UTC),EndTime(UTC),TimeZone,LocationLat,LocationLng,AirportCode,County
Fog,Moderate,2016-12-09 16:56,2016-12-09 17:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-10 6:39,2016-12-10 7:03,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-10 7:42,2016-12-10 8:09,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-10 8:36,2016-12-10 9:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-10 13:56,2016-12-10 14:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-10 16:56,2016-12-10 19:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2016-12-10 19:56,2016-12-10 20:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-10 21:21,2016-12-10 21:34,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-10 22:09,2016-12-11 3:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-14 4:56,2016-12-14 6:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-14 11:56,2016-12-14 12:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-15 0:47,2016-12-15 1:30,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-15 8:56,2016-12-15 11:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-15 12:56,2016-12-15 14:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Fog,Moderate,2016-12-15 14:56,2016-12-15 15:01,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-15 15:01,2016-12-15 21:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2016-12-15 21:56,2016-12-15 22:01,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-15 22:01,2016-12-15 22:30,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2016-12-15 22:30,2016-12-15 22:58,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-15 22:58,2016-12-15 23:44,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2016-12-15 23:44,2016-12-15 23:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Heavy,2016-12-15 23:56,2016-12-16 0:23,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-16 0:23,2016-12-16 0:31,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2016-12-16 0:31,2016-12-16 0:58,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-16 0:58,2016-12-16 6:29,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-16 6:56,2016-12-16 7:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Cold,Severe,2016-12-17 23:56,2016-12-18 0:19,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-23 11:56,2016-12-23 13:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2016-12-23 13:56,2016-12-23 14:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Heavy,2016-12-23 14:56,2016-12-23 15:31,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-23 15:56,2016-12-23 16:52,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-23 18:56,2016-12-23 19:17,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-23 20:56,2016-12-23 22:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-24 8:56,2016-12-24 9:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Fog,Moderate,2016-12-30 22:56,2016-12-30 23:52,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-31 13:56,2016-12-31 14:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-31 15:56,2016-12-31 16:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-02 3:36,2017-01-02 3:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-02 7:56,2017-01-02 8:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-03 4:56,2017-01-03 8:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-03 11:56,2017-01-03 14:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-03 19:56,2017-01-04 4:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Storm,Severe,2017-01-04 4:56,2017-01-04 5:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-04 5:56,2017-01-04 6:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-04 7:56,2017-01-04 10:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-04 11:56,2017-01-04 13:42,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-04 14:56,2017-01-04 16:10,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-04 17:10,2017-01-04 17:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-04 22:56,2017-01-05 4:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-05 6:35,2017-01-05 7:08,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-07 7:56,2017-01-07 8:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-07 9:56,2017-01-07 12:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2017-01-07 12:56,2017-01-07 13:03,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-07 13:03,2017-01-07 13:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2017-01-07 13:56,2017-01-07 14:17,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-07 14:17,2017-01-07 16:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-07 20:25,2017-01-07 20:30,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-07 21:09,2017-01-07 22:44,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Fog,Severe,2017-01-07 22:44,2017-01-07 22:46,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Fog,Moderate,2017-01-07 22:46,2017-01-07 22:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-08 1:56,2017-01-08 3:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-08 4:56,2017-01-08 7:39,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2017-01-08 7:39,2017-01-08 8:25,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-08 8:25,2017-01-08 8:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2017-01-08 8:56,2017-01-08 9:06,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
