from,to,cost
1210030100,1220030700,578.5830437999999
1210030100,1220027800,578.5830437999999
1210030100,1210027600,578.5830437999999
1210030100,1220030500,578.5830437999999
1210030100,1210029400,10.0
1210030100,1210029700,520.0232321999999
1210030100,1210029500,520.0232321999999
1210030100,1220032700,10.0
1210030100,1220032200,841.6489976
1210030100,1220034500,841.6489976
1210030100,1220032600,841.6489976
1210030100,1220033700,841.6489976
1210006300,1210006300,0.0
1210006300,1210030700,353.5968457
1210006300,1210006200,353.5968457
1210030700,1210030700,0.0
1210030700,1210006200,10.0
1210030700,1210030000,350.2578039
1210030700,1210028900,2162.883677
1210030700,1210026600,2162.883677
1210030700,1220036600,1125.2341279999998
1210030700,1220037100,1125.2341279999998
1210030600,1210030700,822.4628409
1210030600,1210006200,822.4628409
1210006200,1210030700,10.0
1210006200,1210006200,0.0
1210006200,1210030000,350.2578039
1210006200,1210028900,2162.883677
1210006200,1210026600,2162.883677
1210006200,1220036600,1125.2341279999998
1210006200,1220037100,1125.2341279999998
1210030000,1210030000,0.0
1210030000,1210030100,558.2059002999999
1210030000,1220030600,558.2059002999999
1210030000,1210029400,558.2059002999999
1210030000,1220032700,558.2059002999999
1220030600,1210030100,10.0
1220030600,1210006300,557.7414187
1220030600,1220030600,0.0
1220030600,1220030700,578.5830437999999
1220030600,1220027800,578.5830437999999
1220030600,1210027600,578.5830437999999
1220030600,1220030500,578.5830437999999
1220030600,1210029400,10.0
1220030600,1210029700,520.0232321999999
1220030600,1210029500,520.0232321999999
1220030600,1220032700,10.0
1220030600,1220032200,841.6489976
1220030600,1220034500,841.6489976
1220030600,1220032600,841.6489976
1220030600,1220033700,841.6489976
1220027800,1220030700,10.0
1220027800,1210030100,578.5830437999999
1220027800,1220030600,578.5830437999999
1220027800,1210029400,578.5830437999999
1220027800,1220032700,578.5830437999999
1220027800,1220027800,0.0
1220027800,1220027900,785.8715491
1220027800,1220025000,785.8715491
1220027800,1220027300,785.8715491
1220027800,1210025400,785.8715491
1220027800,1210027600,10.0
1220027800,1210027000,608.9822596
1220027800,1210027700,608.9822596
1220027800,1220030500,10.0
